"","CONTROL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","CVE_AGEB","CVE_MZA","TERRENOS","SUP_TOTAL"
"341","07059002-9005","07","Chiapas","059","Ocosingo","002-9","005","1",8.9155
"342","07073002-8006","07","Chiapas","073","Rayón","002-8","006","157",472.1279
"343","07011001-0007","07","Chiapas","011","Bella Vista","001-0","007","156",2018.1942
"344","07059005-2010","07","Chiapas","059","Ocosingo","005-2","010","17",468.0015
"345","07052018-9007","07","Chiapas","052","Las Margaritas","018-9","007","164",557.1408
"346","07023001-1008","07","Chiapas","023","Chamula","001-1","008","119",46.6089
"347","07059034-9006","07","Chiapas","059","Ocosingo","034-9","006","42",402.279
"348","07056001-2003","07","Chiapas","056","Mitontic","001-2","003","20",90.008
"349","07052019-3009","07","Chiapas","052","Las Margaritas","019-3","009","32",683.136
"350","07099006-2009","07","Chiapas","099","La Trinitaria","006-2","009","38",404.98
"351","07107020-6010","07","Chiapas","107","Villa Corzo","020-6","010","45",1055.2336
"352","07012003-7016","07","Chiapas","012","Berriozábal","003-7","016","5",1153.7191
"353","07048003-A007","07","Chiapas","048","Juárez","003-A","007","61",1249.3903
"354","07048006-3011","07","Chiapas","048","Juárez","006-3","011","22",1234.4202
"355","07059007-1011","07","Chiapas","059","Ocosingo","007-1","011","1",323.0476
"356","07030009-2012","07","Chiapas","030","Chicomuselo","009-2","012","4",90.6922
"357","07089029-7012","07","Chiapas","089","Tapachula","029-7","012","1",488.2905
"358","07002005-A013","07","Chiapas","002","Acala","005-A","013","337",260.7067
"359","07046011-A017","07","Chiapas","046","Jiquipilas","011-A","017","186",713.3445
"360","07047003-2020","07","Chiapas","047","Jitotol","003-2","020","26",128.9782
"361","07014001-2025","07","Chiapas","014","El Bosque","001-2","025","102",577.473
"362","07089027-8029","07","Chiapas","089","Tapachula","027-8","029","5",7.7016
"363","07048009-7001","07","Chiapas","048","Juárez","009-7","001","27",959.8743
"364","07099012-8001","07","Chiapas","099","La Trinitaria","012-8","001","345",1437.8774
"365","07020023-6002","07","Chiapas","020","La Concordia","023-6","002","14",860.2523
"366","07016004-0008","07","Chiapas","016","Catazajá","004-0","008","21",698.2829
"367","07016002-1002","07","Chiapas","016","Catazajá","002-1","002","82",1088.2246
"368","07107022-5018","07","Chiapas","107","Villa Corzo","022-5","018","29",243.0892
"369","07007001-8004","07","Chiapas","007","Amatenango del Valle","001-8","004","364",5264.1871
"370","07047003-2004","07","Chiapas","047","Jitotol","003-2","004","39",261.773
"371","07052040-3006","07","Chiapas","052","Las Margaritas","040-3","006","40",1595.8873
"372","07097015-7007","07","Chiapas","097","Tonalá","015-7","007","42",1519.4296
"373","07116006-5007","07","Chiapas","116","Marqués de Comillas","006-5","007","2",544.2262
"374","07059027-9008","07","Chiapas","059","Ocosingo","027-9","008","8",204.3172
"375","07061005-0008","07","Chiapas","061","Ocozocoautla de Espinosa","005-0","008","30",168.8379
"376","07078009-6001","07","Chiapas","078","San Cristóbal de las Casas","009-6","001","17",195.2586
"377","07020010-9009","07","Chiapas","020","La Concordia","010-9","009","15",1227.7595
"378","07043002-9009","07","Chiapas","043","Ixtacomitán","002-9","009","26",86.4062
"379","07066001-9009","07","Chiapas","066","Pantelhó","001-9","009","32",608.8382
"380","07031011-7013","07","Chiapas","031","Chilón","011-7","013","97",629.2487
"381","07020012-8003","07","Chiapas","020","La Concordia","012-8","003","2",338.9148
"382","07013004-9014","07","Chiapas","013","Bochil","004-9","014","226",97.1023
"383","07052018-9003","07","Chiapas","052","Las Margaritas","018-9","003","3",2235.7625
"384","07102002-1014","07","Chiapas","102","Tuxtla Chico","002-1","014","82",479.3035
"385","07057003-9015","07","Chiapas","057","Motozintla","003-9","015","22",257.0766
"386","07071004-2015","07","Chiapas","071","Villa Comaltitlán","004-2","015","4",96.0314
"387","07089028-2015","07","Chiapas","089","Tapachula","028-2","015","17",73.702
"388","07097015-7015","07","Chiapas","097","Tonalá","015-7","015","12",431.9925
"389","07052011-7008","07","Chiapas","052","Las Margaritas","011-7","008","14",775.2372
"390","07061003-1017","07","Chiapas","061","Ocozocoautla de Espinosa","003-1","017","124",606.922
"391","07054006-0023","07","Chiapas","054","Mazatán","006-0","023","17",53.9098
"392","07076003-4018","07","Chiapas","076","Sabanilla","003-4","018","326",253.1173
"393","07039005-A036","07","Chiapas","039","Huitiupán","005-A","036","27",8.3646
"394","07001004-8020","07","Chiapas","001","Acacoyagua","004-8","020","5",161.5805
"395","07089027-8030","07","Chiapas","089","Tapachula","027-8","030","13",333.2448
"396","07030008-8021","07","Chiapas","030","Chicomuselo","008-8","021","122",1099.9121
"397","07017011-8021","07","Chiapas","017","Cintalapa","011-8","021","6",51.9539
"398","07107017-4001","07","Chiapas","107","Villa Corzo","017-4","001","1",279.7825
"399","07108014-8011","07","Chiapas","108","Villaflores","014-8","011","12",367.1379
"400","07074004-4001","07","Chiapas","074","Reforma","004-4","001","22",1079.6886
"401","07031015-5002","07","Chiapas","031","Chilón","015-5","002","37",2987.0581
"402","07099012-8003","07","Chiapas","099","La Trinitaria","012-8","003","1445",994.8058
"403","07065010-0006","07","Chiapas","065","Palenque","010-0","006","15",522
"404","07017016-0007","07","Chiapas","017","Cintalapa","016-0","007","7",893.1052
"405","07059028-3007","07","Chiapas","059","Ocosingo","028-3","007","132",479.6722
"406","07077008-4026","07","Chiapas","077","Salto de Agua","008-4","026","20",27.3841
"407","07078001-A020","07","Chiapas","078","San Cristóbal de las Casas","001-A","020","5",38.5307
"408","07059073-9007","07","Chiapas","059","Ocosingo","073-9","007","9",2700.4041
"409","07072003-5007","07","Chiapas","072","Pueblo Nuevo Solistahuacán","003-5","007","8",460.416
"410","07099014-7007","07","Chiapas","099","La Trinitaria","014-7","007","56",906.543
"411","07087006-1002","07","Chiapas","087","Suchiate","006-1","002","75",2985.7439
"412","07065027-6011","07","Chiapas","065","Palenque","027-6","011","200",263.4932
"413","07059043-8013","07","Chiapas","059","Ocosingo","043-8","013","114",386.1222
"414","07061004-6013","07","Chiapas","061","Ocozocoautla de Espinosa","004-6","013","197",1546.8274
"415","07057005-8032","07","Chiapas","057","Motozintla","005-8","032","6",1.4012
"416","07097008-7013","07","Chiapas","097","Tonalá","008-7","013","7",2305.7723
"417","07065022-3015","07","Chiapas","065","Palenque","022-3","015","1",112.3347
"418","07089025-9015","07","Chiapas","089","Tapachula","025-9","015","32",245.1445
"419","07089029-7017","07","Chiapas","089","Tapachula","029-7","017","20",342.7514
"420","07044003-0018","07","Chiapas","044","Ixtapa","003-0","018","383",491.4844
"421","07021004-0019","07","Chiapas","021","Copainalá","004-0","019","37",1993.3313
"422","07005003-2005","07","Chiapas","005","Amatán","003-2","005","1008",5319.4191
"423","07044002-6019","07","Chiapas","044","Ixtapa","002-6","019","369",371.2654
"424","07071003-8020","07","Chiapas","071","Villa Comaltitlán","003-8","020","51",1077.2141
"425","07040006-5021","07","Chiapas","040","Huixtla","006-5","021","3",42.2595
"426","07081005-3023","07","Chiapas","081","Simojovel","005-3","023","28",225.5203
"427","07051007-3026","07","Chiapas","051","Mapastepec","007-3","026","26",83.6648
"428","07027007-8040","07","Chiapas","027","Chiapa de Corzo","007-8","040","208",269.1659
"429","07099006-2001","07","Chiapas","099","La Trinitaria","006-2","001","228",1494.379
"430","07009011-6005","07","Chiapas","009","Arriaga","011-6","005","10",799.2475
"431","07020013-2002","07","Chiapas","020","La Concordia","013-2","002","86",302.7551
"432","07117003-9006","07","Chiapas","117","Montecristo de Guerrero","003-9","006","31",137.6322
"433","07031013-6002","07","Chiapas","031","Chilón","013-6","002","877",6742.3924
"434","07094004-7002","07","Chiapas","094","Teopisca","004-7","002","35",140.8092
"435","07108020-3013","07","Chiapas","108","Villaflores","020-3","013","3",964.896
"436","07077009-9014","07","Chiapas","077","Salto de Agua","009-9","014","11",20.1072
"437","07002003-0003","07","Chiapas","002","Acala","003-0","003","1",3123.9193
"438","07027009-7010","07","Chiapas","027","Chiapa de Corzo","009-7","010","5",40.6517
"439","07020023-6003","07","Chiapas","020","La Concordia","023-6","003","115",981.5073
"440","07109002-2003","07","Chiapas","109","Yajalón","002-2","003","44",478.7459
"441","07013004-9012","07","Chiapas","013","Bochil","004-9","012","82",80.1968
"442","07019013-1004","07","Chiapas","019","Comitán de Domínguez","013-1","004","131",673.4803
"443","07104004-5005","07","Chiapas","104","Tzimol","004-5","005","173",494.8243
"444","07020020-2001","07","Chiapas","020","La Concordia","020-2","001","4",2638.0765
"445","07099011-3006","07","Chiapas","099","La Trinitaria","011-3","006","42",48.0633
"446","07106008-8012","07","Chiapas","106","Venustiano Carranza","008-8","012","174",207.2369
"447","07059091-7007","07","Chiapas","059","Ocosingo","091-7","007","17",497.8994
"448","07017018-A021","07","Chiapas","017","Cintalapa","018-A","021","31",48.4194
"449","07116007-A001","07","Chiapas","116","Marqués de Comillas","007-A","001","17",384.5981
"450","07048006-3008","07","Chiapas","048","Juárez","006-3","008","11",558.0287
"451","07072002-0004","07","Chiapas","072","Pueblo Nuevo Solistahuacán","002-0","004","8",35.2783
"452","07066002-3008","07","Chiapas","066","Pantelhó","002-3","008","44",43.4412
"453","07050008-0013","07","Chiapas","050","La Libertad","008-0","013","32",777.4727
"454","07077012-0008","07","Chiapas","077","Salto de Agua","012-0","008","255",1368.6221
"455","07027005-9014","07","Chiapas","027","Chiapa de Corzo","005-9","014","52",1128.8883
"456","07066003-8014","07","Chiapas","066","Pantelhó","003-8","014","17",691.9407
"457","07016007-4016","07","Chiapas","016","Catazajá","007-4","016","9",244.7592
"458","07034005-3016","07","Chiapas","034","Frontera Comalapa","005-3","016","64",267.2737
"459","07077008-4016","07","Chiapas","077","Salto de Agua","008-4","016","35",192.6449
"460","07038004-8010","07","Chiapas","038","Huixtán","004-8","010","16",11.2048
"461","07065012-A017","07","Chiapas","065","Palenque","012-A","017","274",1114.5225
"462","07003004-2018","07","Chiapas","003","Acapetahua","004-2","018","1",1.1948
"463","07103002-9021","07","Chiapas","103","Tuzantán","002-9","021","68",200.7683
"464","07003006-1027","07","Chiapas","003","Acapetahua","006-1","027","11",18.117
"465","07031017-4001","07","Chiapas","031","Chilón","017-4","001","1074",4967.0914
"466","07054006-0019","07","Chiapas","054","Mazatán","006-0","019","1",53.3449
"467","07088001-6001","07","Chiapas","088","Sunuapa","001-6","001","39",771.8347
"468","07009009-9002","07","Chiapas","009","Arriaga","009-9","002","3",178.0001
"469","07052023-A002","07","Chiapas","052","Las Margaritas","023-A","002","1",1946.4989
"470","07093003-5003","07","Chiapas","093","Tenejapa","003-5","003","56",436.5759
"471","07108020-3003","07","Chiapas","108","Villaflores","020-3","003","44",1306.3185
"472","07039003-0004","07","Chiapas","039","Huitiupán","003-0","004","11",224.8191
"473","07069002-5004","07","Chiapas","069","Pijijiapan","002-5","004","1",26.5065
"474","07087006-1004","07","Chiapas","087","Suchiate","006-1","004","136",231.6848
"475","07002006-4010","07","Chiapas","002","Acala","006-4","010","65",207.285
"476","07017028-3005","07","Chiapas","017","Cintalapa","028-3","005","7",1074.6605
"477","07049002-2012","07","Chiapas","049","Larráinzar","002-2","012","4",68.8108
"478","07034002-A005","07","Chiapas","034","Frontera Comalapa","002-A","005","49",150.3869
"479","07069011-4034","07","Chiapas","069","Pijijiapan","011-4","034","30",367.9784
"480","07050003-8005","07","Chiapas","050","La Libertad","003-8","005","18",1760.5046
"481","07059102-7001","07","Chiapas","059","Ocosingo","102-7","001","1",9456.1265
"482","07059044-2006","07","Chiapas","059","Ocosingo","044-2","006","156",889.2551
"483","07096004-1003","07","Chiapas","096","Tila","004-1","003","130",4549.233
"484","07012004-1008","07","Chiapas","012","Berriozábal","004-1","008","12",860.9329
"485","07099024-0006","07","Chiapas","099","La Trinitaria","024-0","006","31",545.7269
"486","07024003-8004","07","Chiapas","024","Chanal","003-8","004","18",10.1304
"487","07110002-3007","07","Chiapas","110","San Lucas","002-3","007","12",203.342
"488","07065018-7014","07","Chiapas","065","Palenque","018-7","014","7",44.4811
"489","07069007-8008","07","Chiapas","069","Pijijiapan","007-8","008","22",987.3457
"490","07037005-5009","07","Chiapas","037","Huehuetán","005-5","009","11",48.3581
"491","07049002-2008","07","Chiapas","049","Larráinzar","002-2","008","16",26.3616
"492","07108009-7009","07","Chiapas","108","Villaflores","009-7","009","83",629.7049
"493","07017023-0011","07","Chiapas","017","Cintalapa","023-0","011","6",482.235
"494","07030008-8012","07","Chiapas","030","Chicomuselo","008-8","012","47",295.7332
"495","07065030-8012","07","Chiapas","065","Palenque","030-8","012","38",639.53
"496","07046007-3013","07","Chiapas","046","Jiquipilas","007-3","013","6",502.3962
"497","07108027-5008","07","Chiapas","108","Villaflores","027-5","008","9",1199.2438
"498","07061004-6015","07","Chiapas","061","Ocozocoautla de Espinosa","004-6","015","457",1785.1394
"499","07013002-A017","07","Chiapas","013","Bochil","002-A","017","15",852.1136
"500","07003005-7016","07","Chiapas","003","Acapetahua","005-7","016","40",5583.712
"501","07017011-8017","07","Chiapas","017","Cintalapa","011-8","017","92",862.7448
"502","07059033-4018","07","Chiapas","059","Ocosingo","033-4","018","29",18.3628
"503","07076002-A010","07","Chiapas","076","Sabanilla","002-A","010","122",1096.9386
"504","07027007-8025","07","Chiapas","027","Chiapa de Corzo","007-8","025","90",266.312
"505","07063001-7001","07","Chiapas","063","Osumacinta","001-7","001","46",539.422
"506","07101038-2010","07","Chiapas","101","Tuxtla Gutiérrez","038-2","010","1",52.7623
"507","07050003-8007","07","Chiapas","050","La Libertad","003-8","007","24",1034.6804
"508","07067001-6001","07","Chiapas","067","Pantepec","001-6","001","89",1544.2746
"509","07007004-1002","07","Chiapas","007","Amatenango del Valle","004-1","002","15",2402.6859
"510","07013004-9032","07","Chiapas","013","Bochil","004-9","032","17",97.7058
"511","07038004-8002","07","Chiapas","038","Huixtán","004-8","002","655",635.7548
"512","07022002-9001","07","Chiapas","022","Chalchihuitán","002-9","001","2",8914.5371
"513","07107018-9007","07","Chiapas","107","Villa Corzo","018-9","007","5",256.9072
"514","07052011-7002","07","Chiapas","052","Las Margaritas","011-7","002","1",342.7001
"515","07059040-4002","07","Chiapas","059","Ocosingo","040-4","002","216",847.6546
"516","07027010-A003","07","Chiapas","027","Chiapa de Corzo","010-A","003","1",874.8022
"517","07089025-9006","07","Chiapas","089","Tapachula","025-9","006","29",444.7561
"518","07017021-1008","07","Chiapas","017","Cintalapa","021-1","008","373",387.2558
"519","07049001-8008","07","Chiapas","049","Larráinzar","001-8","008","60",14.508
"520","07062003-9008","07","Chiapas","062","Ostuacán","003-9","008","1",851.34
"521","07017018-A010","07","Chiapas","017","Cintalapa","018-A","010","11",68.797
"522","07019013-1010","07","Chiapas","019","Comitán de Domínguez","013-1","010","86",690.3068
"523","07048004-4010","07","Chiapas","048","Juárez","004-4","010","11",634.602
"524","07030010-5010","07","Chiapas","030","Chicomuselo","010-5","010","25",635.547
"525","07009007-A011","07","Chiapas","009","Arriaga","007-A","011","2",627.683
"526","07068006-6011","07","Chiapas","068","Pichucalco","006-6","011","67",1071.6741
"527","07051003-5002","07","Chiapas","051","Mapastepec","003-5","002","25",304.6193
"528","07017010-3009","07","Chiapas","017","Cintalapa","010-3","009","54",275.0627
